,1back_resp_beta,1back_resp_beta,curr_key_beta,curr_key_beta
1back_Accuracy,0.0,1.0,0.0,1.0
Subjects,,,,
1,-0.24939382260325563,0.08103299837527168,1.079742124676686,1.1834260098832876
2,0.06581782872981183,-0.3233431586359697,1.062647423087979,1.0885936330972585
3,0.48809443672761216,0.20158238521934613,1.1213434757064884,1.1369213120641954
4,0.019804569047522667,-0.1901068060005846,1.1184168577156328,1.088767306498469
5,-0.08747072474816606,-0.02674434247549301,0.9812886007702631,1.053383131518514
6,-0.7689221296235457,-0.46353770722815046,1.2415265405693388,1.1160472420562693
7,-0.00891554082153586,0.1828747473162662,1.1984996076953731,1.1106378803526582
8,0.34416045818280033,-0.08337735074674513,0.8852914314441201,1.185529466119979
9,-0.06168951058025245,0.019904290523453175,1.3246048505396384,1.0342562355738225
10,0.01069559499065888,-0.06645429668066648,1.0605177194893363,1.0697564055444508
11,-0.40649923464019366,-0.15057923607106852,0.8564161053191915,1.256334412251558
12,0.11157177565710498,-0.03410412501326713,1.0924010286688315,1.0755579998414277
13,-0.08637752945069828,0.014919723311173411,0.8025142282353418,1.1098622830903206
14,-0.33258666425876987,0.15654589398857421,0.84341228802476,1.3007002031036001
15,0.0372607102533789,0.2790244578812948,0.8137894997523751,1.0308969244540225
16,-0.07229061440555369,0.1865514752386848,1.1063643819360922,1.104745157258926
17,-0.09265666582538902,-0.212113512676433,1.3231964975360464,1.070927815125195
18,-0.35739589051268317,-0.09531995848484587,1.2625133217887126,1.0663930365512078
19,-0.3244180671175168,0.11804379185525297,1.3658719419456782,1.113057679858935
20,-0.6456916306682035,-0.17526635657491324,1.4247812410288732,1.05396611451026
21,0.2371340140160965,0.0629382725387073,1.0480642302324252,1.17506428037354
22,0.08618561297039304,0.07926992117925169,1.1177871913555428,1.0524945748057588
23,-0.09626844776769071,-0.16832250244378397,1.0738028048825645,1.1133233402003706
