Subject,1_back_Perceptual,1_back_Motor,2_back_Perceptual,2_back_Motor,3_back_Perceptual,3_back_Motor,4_back_Perceptual,4_back_Motor,5_back_Perceptual,5_back_Motor,6_back_Perceptual,6_back_Motor,7_back_Perceptual,7_back_Motor,8_back_Perceptual,8_back_Motor,9_back_Perceptual,9_back_Motor,10_back_Perceptual,10_back_Motor
1,0.16864475882813285,0.04226007038287181,0.1807967129135967,0.030171679038136768,0.1757846511298599,0.04424433668506803,0.15416295984703243,0.0419321135253387,0.15972443764657038,0.046058265421134045,0.18147075692663442,0.04142192054609243,0.18306924802836821,0.05620733699659388,0.17509736700417997,0.05751576460776473,0.1724037943620362,0.05614379750079679,0.15600644664295202,0.04392454972752969
2,0.011073775640182049,0.03546456609725842,0.013247662548884893,0.04641153199941596,0.0036139516013882662,0.04495513005728414,0.007606285948418809,0.037448430418800305,0.0023880056434556047,0.03176859524616727,0.006798769950122807,0.03031124780213074,-0.0009162616384715667,0.04199855860977401,-0.0019646549010391688,0.03817802596350948,0.011825861224186204,0.03739607745775817,0.008913954320113802,0.024195808550284147
3,0.046240155857317326,0.060570470332164374,0.05666749037338122,0.06275987448403239,0.0661104336803593,0.04624795572162568,0.06172971548446328,0.03693698977699363,0.06551945047220875,0.047849502306586904,0.07527230169862062,0.039845118637658265,0.051922690792636124,0.050332683270157476,0.04604131429834408,0.07179432152830262,0.07376858617285433,0.032933852718571355,0.06943746386907527,0.06048414315658634
4,0.21850637055345132,-0.012578466515086244,0.23458013453779764,0.004056923654255324,0.22157123018606378,-0.00720677055247722,0.23810545552404236,0.0019349686413731911,0.22195639708271184,-0.016757264789413216,0.22213261748890428,-0.008151804955585254,0.23285551053705464,-0.013854629974755096,0.22256243379544005,-0.000800410763736891,0.23104799496028555,-0.02630975029484901,0.24888511078232387,-0.016064605077829308
5,0.2782240414405508,-0.023408610715645917,0.26977199671548036,-0.023016964957446272,0.2758404810478656,-0.016620274103362108,0.2770915284060234,-0.003874681639170505,0.26138648864144204,-0.04056986355523715,0.25514643029123996,-0.027152403921103945,0.2474463178606702,-0.020538408068816117,0.2702174632380082,-0.006059304697040362,0.25525044638771033,-0.03279053723461682,0.26964723127675255,-0.014334848947627852
6,0.00013112277827386832,0.008196806273076038,-0.00747437941911272,-0.012983609753531522,0.022761257315159943,0.002038225275641974,-0.006040683438180238,-0.0030949442921841103,0.01801420185041687,-0.010991680551927407,0.001494178675177438,0.003026491800014113,-0.008402909642428829,-0.013640613092952282,-0.019420190737813342,-0.009641394657080929,0.01672258599759671,-0.022073854972234384,8.289432965097071e-05,-0.001939686736161072
7,0.06191167191029134,0.012312084817333108,0.04490525432399515,0.0019623455086120543,0.04176593034893492,0.004292540792920224,0.048604835490441055,-0.0006310652673664446,0.04612305503785223,0.006584692056310935,0.035981010957130855,0.016659733658749513,0.043704903012528724,0.024177557958107943,0.05531099340670224,-0.0019190112941190063,0.03365891067082903,0.005211231475571415,0.05374740283481115,-0.009987804540868834
8,0.08069358519206596,-0.011258009181270264,0.0662898229939,-0.006322701913125539,0.07481731553480787,-0.00397769250447751,0.07376082283609113,-0.005920267002418612,0.08800336464856136,0.008450239948978528,0.062228430337246114,-0.0018054738511689506,0.06415648974406749,0.0008806635361091907,0.06968554027865834,-0.000332846209117853,0.06132286481472625,0.00021684491527753535,0.08376074648201094,0.00804262934089632
9,-0.0007106479738128377,-0.0029107757016124517,-0.011779781591135042,0.0205197007267203,0.009312472237838909,0.009068365627614792,-0.017920484276726927,0.013774908380366088,0.005416670896001778,-0.003755325195014076,-0.010066208452584853,0.02168222153449061,0.027707897685893074,-0.008239967556853231,0.007400041442039234,0.013089252424299975,-0.004196918818196234,0.00389965474890619,-0.0017774579260792806,0.00509986631012054
10,0.045545214430389384,0.0034040497309421923,0.04933612104900211,0.017871400559193305,0.04217883763405979,0.01678832580853873,0.05580574112764781,0.02892412045744646,0.04323278942757417,0.01804506621375044,0.04649562490828203,0.02360100915989917,0.04932505437274138,0.002329329470703955,0.053614468192085145,0.005514880234171979,0.04997306875946919,0.016402609876331686,0.04596560021254405,0.012896795861925705
11,0.027202973727078836,-0.01249516187154214,0.031972681435652815,-0.0026542262936722376,0.011077341314974367,-0.017665669756396683,0.021934872913309696,-0.01536830572399801,0.013673408031084204,-0.0013301240522818958,0.03427559675985461,-0.009256068387598319,0.010335009556323813,-0.005836795711036453,0.017817080251379448,-0.008030980884403788,0.013982013621710764,-0.01907909134059314,0.02289311746122781,-0.02161597180548501
12,0.045624318037961215,0.05762981884012887,0.05862839957960614,0.039386934944223836,0.05445755057013626,0.048972245168091594,0.04721961252915286,0.040443440614537876,0.03968243470647856,0.05217697560429353,0.04913745023616513,0.03854904574321539,0.04849864174940712,0.03200814962479159,0.0345872123754754,0.04262137049746703,0.04293372604994014,0.022751048868174605,0.060481418055853595,0.04055241916764084
13,0.010063406468918195,0.0007501247738303415,-0.011280240377316796,-0.0026840347353890674,-0.010207947154507844,-0.004534255730500255,-0.018861531651935187,-0.0008932177462563435,-0.015903497126222865,-0.01077569810559894,-0.007844788953017967,-0.01781875999079248,0.006144155548960662,-0.018720544981118695,-0.010703294908610045,-0.011577814441461451,-0.010125658467636472,0.01133453968466236,-0.017787159467562416,0.0028119066721325374
14,0.056725985917104677,0.007204160089701272,0.06173961207250661,0.023257467025159052,0.0691088221722281,0.0025478721232842696,0.06739715315458095,0.019977670992058428,0.06598944215562405,0.016105064258660425,0.06169082770486607,0.014382681966214022,0.05798140987668072,-0.0014697187740377643,0.06318368606996354,0.019696917277189065,0.05442611602999715,0.014281797883125698,0.07900598964760365,0.004823103253386814
15,0.272398120934988,0.003547478164751731,0.2856060430556633,0.017220918563954527,0.27835900439472333,-0.002717745487191491,0.28184580743501514,-0.0011572700307365845,0.27905437493067264,0.016219926682799476,0.28799381101544197,-0.010519256062558033,0.2952146087731507,-0.015705389422668508,0.276749294965843,-0.011781977815616785,0.29247316348198615,0.009308699371720868,0.30558127941377833,0.009580040017765173
16,0.023971055758028825,0.005898446950162299,0.024074516954620085,-0.0004704317513960213,0.011459300622288993,-0.022739585317520933,0.018563831133410515,-0.0024724667175280587,0.0026308632177339097,0.0014373936905544978,0.0055638911489477826,-0.030495475724489848,0.018835209173116086,-0.008837739574666712,0.021718420534533454,-0.0004374855859004012,0.014895691439723446,-0.009999869015360716,0.017950598611880288,0.0123578815685842
17,0.008745506024917044,0.012324247119356067,0.005411943979197079,0.009559345774072357,0.015263712917165584,0.016740089352866094,0.017291106108784177,0.017294377246986212,0.02358997764553425,0.001715802342152153,0.03696384579122328,-0.0019445918235047265,0.01614214234529008,0.028862308890032176,0.023100619551208224,0.021355670197709495,-0.004767463198543336,-0.002459943660815623,0.01786285949076502,0.023067909021135015
18,0.05634418140562018,-0.004358685387460067,0.05696079218747519,0.009380725748384324,0.04711291281502329,-0.013355258885081043,0.051346834376554164,0.0009854369994003536,0.03789693588874853,-0.023821902539380407,0.04569724164067967,0.014236391568490247,0.03957434894660659,-0.010422274029905811,0.03474185548827509,-0.020897461057709857,0.06972024537703496,0.003280158902807039,0.0406239483152268,0.017087752054644904
19,0.02766605150707087,0.02061395999232045,0.0390817576517342,0.01692608394325436,0.02680746083439378,0.024815545617621705,0.013587365504653701,0.03481614388726399,0.03423476147502086,0.03103942146981295,0.029382302234378252,0.034292029753842344,0.030318202026489115,0.0359215223185719,0.024699175719032768,0.0441307369847956,0.050308492788359194,0.029403097058250918,0.023656625864430625,0.030443697484913428
20,0.04211355054026972,0.0019412292529751428,0.04539941550930229,0.009121184101539583,0.03150012734489144,-0.011307012704621304,0.03844795021923728,0.0028374561974085426,0.03695384481874092,0.009509144025844147,0.05369261717331059,-0.0027027648860575002,0.05059480673958807,-0.004670882660507801,0.04115497770670348,-0.007690432685474984,0.03879289443995852,0.003966005111829484,0.05446298002658062,-0.004394171626292372
21,0.13401442873951536,0.053396369107665646,0.10868948951622796,0.060202265219030535,0.10761009661363218,0.07487205145662881,0.10657865866227441,0.07299679188368657,0.11702396573844406,0.06643202842780797,0.10949747468109093,0.07994899864105869,0.0932778937201483,0.0580643778898539,0.11172817550217537,0.07172693790599163,0.11954752158623703,0.05051661046624758,0.08428050845172644,0.061580221364436964
22,0.038101133188748644,-0.002690581797725048,0.04303499852515581,-0.006429445424337126,0.04736231744246384,-0.00915788677287825,0.043330471694558205,-0.011920515817582354,0.05977951488411785,-0.01611361413204867,0.05362485518912975,0.003786830921342416,0.04053935582596718,-0.01503932341481355,0.05910290758849356,0.002807561348219003,0.057092280127299215,-0.004101975316957806,0.04534253354419374,0.012032092191611877
23,0.029660945834091037,0.022944955588853743,0.03232018577143934,0.016106301025592573,0.024990196951061153,0.017118882020415938,0.02176223693290584,0.012936902026505133,0.045243960090417784,0.020151259275119262,0.02420073745001887,0.012579925933684453,0.04726587034375742,0.012583848818289396,0.026236150853889167,0.01972744132874572,0.026095415469084508,0.015313299005572878,0.026727950545196097,6.493100080287917e-05
24,0.17999611759896147,0.031949774343780206,0.1945192195746262,0.02965516056705082,0.1752280532737035,0.02410240361590048,0.1947740419742021,0.026732448579706122,0.1994976051601705,0.03474527417425167,0.18670558382795646,0.028111122046297864,0.1838744236269335,0.019139256251493365,0.1735147524774806,0.022744517643214036,0.183542725566572,0.019496535880017925,0.1869002210901886,0.0410879192887994
25,0.0524778042834507,0.011859156286504973,0.0622671932143814,0.007799627648033673,0.05801503050962408,0.0037075210767506073,0.058287876071319224,0.005323175779924245,0.05951933284687883,0.01029552540169339,0.05298631351733616,0.021968419577498143,0.058366475352949344,0.011436766105355966,0.06499723681258977,-0.0014976552898973566,0.0412827827611514,0.0030362783566890788,0.04176109856369838,0.01138157009763608
26,0.04741314501212277,0.0012499745076718883,0.06183266660849677,-0.0009772325595042626,0.04214025705455583,-0.00878124775151646,0.05189416219936043,0.011472153112593338,0.05432834057246963,-0.007872452493761563,0.05839842578360096,0.009850064385479314,0.06451645878110761,0.00603852170983965,0.060605042642951454,0.004516732266106593,0.06401649442906582,-0.02122833290077952,0.03686895905690337,0.0009446405707036631
27,0.004859069009453355,0.050165653904728484,0.03464717313944743,0.057433970197518454,0.004489671501962618,0.044066125377239196,0.023910676095080033,0.049581024737709825,0.03150107891177457,0.06172056889730016,0.02259009653551773,0.045895167961131814,0.02614486175047998,0.047522086866805105,0.010383120141817472,0.052371855594809336,0.028091813669858426,0.042170273923280016,0.034905864052064924,0.04656199332184023
28,0.21387534492642066,-0.018025535440669104,0.201111717058165,-0.004361439829901017,0.21328118447157363,-0.010437008131080741,0.2254902559808374,-0.01406921453812975,0.20198923949583222,-0.021166316614691594,0.21563757304029837,-0.032781443308065344,0.2169556308704157,-0.012395694273462847,0.2182609516566906,-0.026057151668920416,0.2190111665951692,-0.008932421030985929,0.21453649546251985,-0.013826791793157994
29,0.07643347298970209,-0.015797057804857115,0.07325664843607214,-0.03718366803444778,0.07170140234383403,-0.029874340040069714,0.07063912436089485,-0.03202595741006668,0.07891202231823705,-0.01804469931343615,0.05936375083880243,-0.03911973438934658,0.08058507196409093,-0.027501503532131818,0.07087478353564143,-0.04547206486073906,0.07519898257722943,-0.025227503399017623,0.08011802335472293,-0.02741762023093949
30,0.05599450941978045,-0.00779731628360323,0.05260316457528612,-0.001258843909456753,0.056122147971670804,-0.005426045906706513,0.0668810902463539,-0.0061869450323718345,0.05786780157103337,-0.009613192508850472,0.04582452411838316,-0.0114771855614832,0.06652867587319367,0.007466391090517293,0.05036797254950374,-0.0020799046051816726,0.04512277423438911,-0.017862992208487197,0.048664717097949416,-0.008606142822932246
31,0.021056773815413106,-0.03946291310572129,0.030338909153811034,-0.018222011870134454,0.018295029116617283,-0.039548362537346275,0.03228400692452776,-0.03456618033827401,0.017637113542646007,-0.024516903741011686,0.035485820105996074,-0.031290463974453106,0.030704065985506852,-0.04392632992105081,0.03411776901501693,-0.023791633703477973,0.017566118114839994,-0.04969844024509053,0.015068664088189458,-0.03257640499687088
32,0.05779290590223298,-0.02728596248866812,0.03924819212978261,-0.016380647291553495,0.04592612097838678,-0.03514845120087215,0.060431916854541336,-0.013012336742450236,0.03718723935264562,-0.03112298585225125,0.05415371289500812,-0.02948909384867195,0.07195153371444038,-0.027298957602990614,0.039199375375793405,-0.025680317945954538,0.039019689660891144,-0.029604110611429587,0.028609029762448987,-0.03301057485511482
